HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459809.66428,2022-08-18.1606188,bj,1.57,17.086,>17.086,99.990,0.172,0.106,g
2459809.66551,2022-08-18.1618479,bj,1.55,17.355,>17.355,99.990,0.053,0.083,g
2459810.64608,2022-08-19.1424204,bF,1.48,17.616,>17.616,99.990,-0.049,0.065,g
2459810.64736,2022-08-19.1437031,bF,1.52,17.434,>17.434,99.990,0.139,0.077,g
2459810.64866,2022-08-19.1450054,bF,1.56,17.423,>17.423,99.990,0.072,0.078,g
2459812.65502,2022-08-21.1513766,bF,1.51,15.399,>15.399,99.990,0.696,0.503,g
2459813.64372,2022-08-22.1400893,bF,1.56,17.355,>17.355,99.990,0.057,0.083,g
2459813.64501,2022-08-22.1413787,bF,1.52,17.471,>17.471,99.990,0.100,0.075,g
2459813.64630,2022-08-22.1426652,bF,1.55,17.537,>17.537,99.990,0.140,0.070,g
2459814.64062,2022-08-23.1369958,bF,1.56,17.231,>17.231,99.990,0.025,0.093,g
2459814.64191,2022-08-23.1382832,bF,1.59,17.509,>17.509,99.990,0.101,0.072,g
2459814.64319,2022-08-23.1395686,bF,1.57,17.644,>17.644,99.990,-0.002,0.064,g
2459815.64423,2022-08-24.1406314,bF,1.58,17.475,>17.475,99.990,-0.078,0.074,g
2459815.64554,2022-08-24.1419335,bF,1.58,17.368,>17.368,99.990,0.108,0.082,g
2459815.64683,2022-08-24.1432284,bF,2.05,17.229,>17.229,99.990,-0.075,0.093,g
2459817.62457,2022-08-26.1209817,bF,2.15,17.340,>17.340,99.990,-0.049,0.084,g
2459817.62585,2022-08-26.1222694,bF,2.09,17.311,>17.311,99.990,0.020,0.086,g
2459817.62714,2022-08-26.1235576,bF,2.09,17.337,>17.337,99.990,0.068,0.084,g
