name,ra,dec,galactic_lng,galactic_lat,type,groups,ID,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Discovery Bibcode,Classification Bibcodes,Ext. catalog/s
AT 2024eag,203.98133749999997,-31.94270277777778,313.82541760796624,29.986266808696367,SIDEREAL,Public,148007,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J133555.52-315633.7,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,19.09,BG-q-BlackGem,2024-03-06 05:25:32.000,BlackGEM_Bot1,,2024TNSTR.628....1T,,
AT 2024eaf,62.993962499999995,-33.47501944444445,234.03576023843883,-46.66501315236783,SIDEREAL,Public,148006,,,,,"BlackGEM, ATLAS","BlackGEM, ATLAS",,ATLAS; BlackGEM,BGEM J041158.55-332830.0,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,19.49,BG-q-BlackGem,2024-03-05 00:44:37.000,BlackGEM_Bot1,,2024TNSTR.628....1T,,
AT 2024dsy,149.84744999999998,-37.46105,269.0377298826064,13.840467093001852,SIDEREAL,Public,147736,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J095923.32-372739.4,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,19.75,BG-q-BlackGem,2024-03-02 06:41:15.000,Groot,,2024TNSTR.593....1G,,
AT 2024dsw,149.42735,-36.702938888888895,268.27804635239943,14.219746148253497,SIDEREAL,Public,147734,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J095742.57-364210.3,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,19.68,BG-q-BlackGem,2024-03-02 06:28:01.000,Groot,,2024TNSTR.594....1G,,
AT 2024dkb,270.1941416666666,-59.18896944444444,334.42954769052403,-16.958382297395442,SIDEREAL,Public,146775,,,,,"BlackGEM, ATLAS","BlackGEM, ATLAS",,ATLAS; BlackGEM,BGEM J180046.62-591120.0,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,18.67,BG-q-BlackGem,2024-02-26 08:28:36.000,Groot,,2024TNSTR.559....1G,,
AT 2024btw,243.47895833333328,-61.63288888888889,324.68036380870325,-7.639805105959663,SIDEREAL,Public,145649,,,,,"BlackGEM, GaiaAlerts","BlackGEM, GaiaAlerts",,BlackGEM; GaiaAlerts,BGEM J161354.95-613758.4,"BG3 - BlackGEM-Cam3, BG4 - BlackGEM-Cam4, Gaia - Gaia-photometric",,1,1,,17.22,BG-q-BlackGem,2024-01-27 09:15:37.000,BlackGEM_Bot1,,2024TNSTR.356....1T,,
AT 2024adm,139.31547916666665,-26.59103888888889,254.62515940219657,15.592308898639878,SIDEREAL,Public,144486,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J091715.73-263527.7,BG4 - BlackGEM-Cam4,,1,1,,17.278,BG-q-BlackGem,2024-01-14 04:43:45.000,Groot,,2024TNSTR.153....1G,,
SN 2024qc,159.21129166666663,-26.156599999999997,268.7761819892322,27.645184302455007,SIDEREAL,Public,144103,SN II,0.012,,,"BlackGEM, ATLAS, GaiaAlerts, Pan-STARRS","BlackGEM, ATLAS, GaiaAlerts, Pan-STARRS",ePESSTO+,ATLAS; BlackGEM; GaiaAlerts; Pan-STARRS,BGEM J103650.69-260923.7,"ATLAS-CHL - ATLAS-04, BG4 - BlackGEM-Cam4, Gaia - Gaia-photometric, ML1 - MeerLICHT-Cam, PS2 - GPC2",ESO-NTT - EFOSC2-NTT,1,1,,17.47,BG-q-BlackGem,2024-01-04 08:16:02.000,Groot,,2024TNSTR..63....1G,2024TNSCR.110....1P,
AT 2024ot,156.66342916666665,-35.88723888888889,272.6643958001509,18.335998540547674,SIDEREAL,Public,144064,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J102639.22-355314.4,BG4 - BlackGEM-Cam4,,1,1,,20.36,BG-q-BlackGem,2024-01-03 05:04:55.000,Groot,,2024TNSTR..52....1G,,
AT 2023aand,149.9221333333333,-26.509380555555556,261.71778133221505,22.30454346826325,SIDEREAL,Public,142323,,,WISExSuperCOSMOSJ095941.30-263033.4,0.07409,"BlackGEM, ATLAS, Pan-STARRS, ZTF","BlackGEM, ATLAS, Pan-STARRS, ZTF",,ATLAS; BlackGEM; Pan-STARRS; ZTF,BGEM J095941.33-263034.2,"ATLAS-CHL - ATLAS-04, BG4 - BlackGEM-Cam4, P48 - ZTF-Cam, PS2 - GPC2",,1,1,,19.66,BG-q-BlackGem,2023-12-18 05:46:39.000,Groot,,2023TNSTR3317....1G,,
